brand_name,parent_company,category,category_level_1,category_level_2,category_level_3,cross_sell_potential,market_position,price_tier
Active Cleaners,پدیده شیمی قرن,خدمات نظافتی,Consumer Products,General Products,خدمات نظافتی,SELF,Unknown,mid_to_premium
Active Home,پدیده شیمی قرن,cleaning_products,Consumer Products,Home Care & Cleaning,Surface & Dishwashing Cleaners,VERY_HIGH,Strong,economy_to_mid
پاکشو,پدیده شیمی قرن,laundry,Consumer Products,Home Care & Cleaning,Laundry Detergents & Softeners,HIGH,Strong,economy
Ave,پدیده شیمی قرن,laundry,Consumer Products,Home Care & Cleaning,Laundry Detergents & Softeners,HIGH,Strong,mid
تاژ,پدیده شیمی قرن,dishwashing,Consumer Products,Home Care & Cleaning,Dishwashing Products,HIGH,Strong,mid
Sana,پدیده شیمی قرن,hygiene,Consumer Products,Personal Care & Hygiene,Personal Hygiene Products,MEDIUM,Strong,mid
Active Home,پدیده شیمی قرن,cleaning_products,Consumer Products,Home Care & Cleaning,Surface & Dishwashing Cleaners,LOW,Unknown,Unknown
پاکشو,پدیده شیمی قرن,laundry,Consumer Products,Home Care & Cleaning,Laundry Detergents & Softeners,LOW,Unknown,Unknown
Ave,پدیده شیمی قرن,laundry,Consumer Products,Home Care & Cleaning,Laundry Detergents & Softeners,LOW,Unknown,Unknown
تاژ,پدیده شیمی قرن,dishwashing,Consumer Products,Home Care & Cleaning,Dishwashing Products,LOW,Unknown,Unknown
Sana,پدیده شیمی قرن,hygiene,Consumer Products,Personal Care & Hygiene,Personal Hygiene Products,LOW,Unknown,Unknown
Bonux,شیمیایی پاکنام,laundry,Consumer Products,Home Care & Cleaning,Laundry Detergents & Softeners,LOW,Unknown,Unknown
Ariel,شیمیایی پاکنام,laundry,Consumer Products,Home Care & Cleaning,Laundry Detergents & Softeners,LOW,Unknown,Unknown
Mihan,گلرنگ پخش,distribution,Business Services,Supply Chain & Logistics,Product Distribution,LOW,Unknown,Unknown
شیرین‌عسل,صنایع غذایی شیرین عسل,confectionery,Consumer Products,Food & Beverage,Sweets & Confectionery,LOW,Unknown,Unknown
ماهان,صنایع غذایی شیرین عسل,confectionery,Consumer Products,Food & Beverage,Sweets & Confectionery,LOW,Unknown,Unknown
Top Top,صنایع غذایی شیرین عسل,confectionery,Consumer Products,Food & Beverage,Sweets & Confectionery,LOW,Unknown,Unknown
پاکی,لبنیات پاکی,dairy,Consumer Products,Food & Beverage,Dairy & Milk Products,LOW,Unknown,Unknown
Sadolin,رنگ‌های صنعتی شرق,paint,Industrial Products,Construction Materials,Paints & Coatings,LOW,Unknown,Unknown
