product_name,category,description,target_market
مشاوره پیش از ازدواج,مشاوره خانواده و ازدواج,بررسی تفاهم‌ها، ویژگی‌های شخصیتی و آمادگی زوجین برای شروع زندگی مشترک.,زوج‌های در آستانه ازدواج
مشاوره حل اختلافات زناشویی,مشاوره خانواده و ازدواج,کمک به بهبود روابط زوجین، رفع تعارضات و بازسازی اعتماد.,زوج‌های دارای چالش‌های ارتباطی
مشاوره طلاق,مشاوره خانواده و ازدواج,همراهی در فرآیند جدایی جهت کاهش آسیب‌های روانی و مدیریت بحران.,افراد در حال جدایی یا پس از طلاق
درمان افسردگی,اختلالات روانشناختی,تشخیص و درمان انواع افسردگی با رویکردهای CBT و روان‌تحلیلی.,افراد دارای علائم بی‌انگیزگی، غم مداوم و افت عملکرد
مدیریت اضطراب و استرس,اختلالات روانشناختی,کنترل حملات پانیک، اضطراب فراگیر و استرس‌های شغلی و تحصیلی.,عموم مردم، کارمندان و دانشجویان
درمان وسواس (OCD),اختلالات روانشناختی,درمان وسواس‌های فکری و عملی با استفاده از روش‌های مواجهه و جلوگیری از پاسخ.,افراد درگیر رفتارهای تکراری یا افکار مزاحم
مشاوره فرزندپروری,کودک و نوجوان,آموزش شیوه‌های صحیح تربیتی و تعامل با فرزندان در سنین مختلف.,والدین
درمان اختلالات یادگیری و تمرکز,کودک و نوجوان,ارزیابی و درمان ADHD و مشکلات یادگیری در کودکان.,کودکان سنین مدرسه و والدین
افزایش اعتماد به نفس و عزت نفس,توسعه فردی,کار بر روی خودباوری و بهبود تصویر ذهنی از خود.,افراد جویای رشد فردی و اجتماعی
کنترل خشم,توسعه فردی,شناسایی ریشه‌های خشم و یادگیری ابزارهای مدیریت هیجانات منفی.,افراد دارای تکانشگری یا ضعف در کنترل هیجان
مشاوره تلفنی و آنلاین,سایر خدمات,ارائه خدمات مشاوره‌ای به صورت غیرحضوری برای سراسر کشور و ایرانیان خارج از کشور.,تمامی مراجعین با محدودیت زمانی یا مکانی
تست‌های روانشناسی,سایر خدمات,اجرای تست‌های شخصیت (MMPI، NEO)، هوش و استعداد یابی.,مراجعین فردی، سازمان‌ها و مدارس
