product_name,category,description,target_market
حساب دیجیتال بلو (Blu Digital Account),حساب‌های بانکی و کارت (Banking & Cards),حساب بانکی کاملاً آنلاین و بدون نیاز به مراجعه حضوری که در کمتر از ۷ دقیقه بازگشایی شده و تمامی خدمات بانکی را از طریق اپلیکیشن موبایل ارائه می‌دهد.,جوانان، دانشجویان و افرادی که به دنبال حذف بروکراسی اداری و بانکداری سنتی هستند.
بلو کارت (Blu Card),حساب‌های بانکی و کارت (Banking & Cards),کارت‌های بانکی عضو شبکه شتاب با طراحی مدرن و رنگ‌بندی متنوع (قرمز، آبی، سبز، زرد، بنفش، رزگلد و مشکی) که دارای امنیت بالا و قابلیت شخصی‌سازی هستند.,تمامی مشتریان بلو که به دنبال کارتی با طراحی متمایز و امنیت فیزیکی بالا هستند.
بلو جونیور (Blu Junior),حساب‌های بانکی و کارت (Banking & Cards),حساب و کارت اختصاصی برای کودکان و نوجوانان (۷ تا ۱۴ سال) که تحت نظارت والدین مدیریت شده و به آموزش سواد مالی به کودکان کمک می‌کند.,والدین دارای فرزند ۷ تا ۱۴ سال که قصد آموزش مدیریت مالی به فرزندان خود را دارند.
وام سریع بلو (Blu Instant Loan),تسهیلات و اعتبارات (Loans & Credits),تسهیلات بانکی بدون نیاز به ضامن و وثیقه ملکی که بر اساس میانگین موجودی حساب و اعتبار سنجی داخلی در کمترین زمان ممکن پرداخت می‌شود.,مشتریان وفادار بلو که نیاز به نقدینگی فوری برای خریدهای ضروری دارند.
سرویس الان بخر، بعداً پرداخت کن (BNPL),تسهیلات و اعتبارات (Loans & Credits),سرویس اعتباری خرید که به کاربران اجازه می‌دهد کالا یا خدمات مورد نیاز خود را در لحظه خریداری کرده و هزینه آن را در پایان ماه یا به صورت اقساطی پرداخت کنند.,کاربرانی که ترجیح می‌دهند خریدهای روزمره خود را با اعتبار بانکی انجام دهند.
باکس بلو (Blu Box),مدیریت مالی و پس‌انداز (Financial Management),صندوق‌های پس‌انداز مجازی درون حساب اصلی که به کاربران اجازه می‌دهد برای اهداف مختلف (مانند سفر، خرید گوشی و غیره) پول خود را تفکیک و ذخیره کنند.,افرادی که به دنبال نظم‌بخشی به پس‌اندازهای خود برای اهداف مشخص هستند.
بلو کلاب (Blu Club),مدیریت مالی و پس‌انداز (Financial Management),سیستم وفاداری و پاداش مشتریان که از طریق فعالیت‌های مختلف و دعوت از دوستان، امتیازات و جوایز نقدی و غیرنقدی به کاربران ارائه می‌دهد.,کاربران فعال اپلیکیشن که تمایل به بهره‌مندی از تخفیف‌ها و جوایز دارند.
انتقال وجه هوشمند (Smart Transfer),خدمات پرداخت و انتقال (Payments & Transfers),سیستم انتقال وجه یکپارچه که شامل سرویس‌های پایا، ساتنا و کارت‌به‌کارت با رابط کاربری بسیار ساده و بدون پیچیدگی‌های معمول بانکی است.,تمامی کاربران که نیاز به جابجایی سریع و ایمن پول دارند.
پرداخت خودکار قبوض (Auto Bill Pay),خدمات پرداخت و انتقال (Payments & Transfers),سرویس استعلام و پرداخت تمامی قبوض خدماتی و جریمه‌های راهنمایی و رانندگی به صورت تکی یا گروهی با قابلیت یادآوری.,افرادی که به دنبال مدیریت زمان و جلوگیری از جریمه دیرکرد قبوض هستند.
سرویس دنگ (Dong),خدمات پرداخت و انتقال (Payments & Transfers),قابلیت تقسیم هزینه‌های مشترک بین دوستان و اعضای خانواده که به صورت خودکار سهم هر نفر را محاسبه و درخواست پرداخت ارسال می‌کند.,گروه‌های دوستانه، هم‌خانه‌ها و افرادی که فعالیت‌های گروهی دارند.
