product_name,category,description,target_market
Mobile Phones,Electronics & Digital Goods,"Smartphones from various brands including Apple, Samsung, and Xiaomi.","General consumers, tech enthusiasts"
Laptops and Computers,Electronics & Digital Goods,"Portable and desktop computing solutions for work, gaming, and education.","Students, professionals, gamers"
Large Home Appliances,Home & Kitchen,Major appliances for household management.,Homeowners
Small Kitchen Appliances,Home & Kitchen,Tools for food preparation and cooking.,General consumers
Clothing,Fashion & Apparel,"Apparel for men, women, and children.",All demographics
Shoes and Accessories,Fashion & Apparel,"Footwear, bags, watches, and jewelry.",General consumers
Cosmetics,Beauty & Health,Makeup and skincare products.,General consumers
Health Supplements & OTC,Beauty & Health,Non-prescription health products and vitamins.,Health-conscious individuals
DigiFresh (Groceries),FMCG (Fast Moving Consumer Goods),"Fresh produce, dairy, and pantry staples.",Local households
DigiPlus,Services,Premium membership offering free shipping and exclusive discounts.,Frequent Digikala shoppers
DigiPay,Services,Financial services including installment purchases and digital wallet.,Online shoppers requiring credit or easy payment
