brand_name,relationship_type,parent_company,category,category_level_1,category_level_2,category_level_3,cross_sell_potential,market_position,price_tier
همکده,SELF,پیشگامان دنیای فناوری و سلامت (Pishgaman Donyaye Fanavari va Salamat),Health and Psychology Services,Consumer_Products,General_Products,Health_and_Psychology_Services,SELF,leader,mid-market
Soshianet (Paziresh24),COMPETITOR,Unknown,Online Medical and Psychology Booking,Consumer_Products,General_Products,Online_Medical_and_Psychology_Booking,NONE,leader,mid-market
DoctorNext,COMPETITOR,Unknown,HealthTech and Online Consultation,Consumer_Products,General_Products,HealthTech_and_Online_Consultation,NONE,challenger,mid-market
Moshvereh.net,COMPETITOR,Unknown,Online Counseling,Consumer_Products,General_Products,Online_Counseling,NONE,niche,mid-market
Pezeshket,SIMILAR,Unknown,Telemedicine,Healthcare_&_Life_Sciences,Digital_Health,Telemedicine,LOW,Unknown,mid-market
SnapDoctor,SIMILAR,Unknown,Telemedicine,Healthcare_&_Life_Sciences,Digital_Health,Telemedicine,LOW,Unknown,mid-market
Darookade,COMPLEMENTARY,Unknown,Online Pharmacy,Consumer_Products,General_Products,Online_Pharmacy,MEDIUM,Unknown,mid-market
Filimo,COMPLEMENTARY,Unknown,VOD Service,Consumer_Products,General_Products,VOD_Service,HIGH,Unknown,economy
Ketabrah,COMPLEMENTARY,Unknown,E-books and Audiobooks,Consumer_Products,General_Products,E_books_and_Audiobooks,HIGH,Unknown,economy
Ketabrah / Taaghche,COMPLEMENTARY,Unknown,Unknown,Consumer_Products,General_Products,Unknown,HIGH,Unknown,Unknown
