product_name,category,description,target_market
Shampoo,Personal Care & Hygiene,"Various formulations for different hair types including daily wash, anti-dandruff, and color-treated hair.",General consumers
Conditioner,Personal Care & Hygiene,Hair softening and detangling formulations.,General consumers
Hand Soap,Personal Care & Hygiene,Antibacterial and moisturizing liquid soaps available in various scents and sizes.,"General consumers, households, and institutions"
Body Wash,Personal Care & Hygiene,Cleansing gels for body use with moisturizing properties.,General consumers
Dishwashing Liquid,Home Care & Detergents,High-grease cutting formula for manual dishwashing.,Households and food service
Laundry Detergent,Home Care & Detergents,Available in both powder and liquid formats for machine and hand wash.,General consumers
Fabric Softener,Home Care & Detergents,Reduces static and adds fragrance to laundry.,General consumers
Surface Cleaners,Home Care & Detergents,"Cleaners for glass, floors, and kitchen surfaces.",Households and commercial cleaning
Baby Shampoo,Baby Care,Hypoallergenic and gentle formula specifically designed for infants.,Infants and children
Baby Lotion & Oil,Baby Care,Soothing oils and lotions for baby skin protection.,Infants
Skin Creams,Cosmetics & Beauty,Hand and face creams for various skin types.,General consumers
