brand_name,relationship_type,parent_company,category,category_level_1,category_level_2,category_level_3,cross_sell_potential,market_position,price_tier
Golrang,SELF,Golrang Industrial Group,Fast-Moving Consumer Goods (FMCG) & Multi-sector Conglomerate,Consumer_Products,General_Products,Fast_Moving_Consumer_Goods_(FMCG)_&_Multi_sector_Conglomerate,SELF,leader,mid-market
Ave,SISTER,Golrang Industrial Group,Detergents,Consumer_Products,General_Products,Detergents,MEDIUM,Strong,mid-market
Softlan,SISTER,Golrang Industrial Group,Fabric Softener,Consumer_Products,General_Products,Fabric_Softener,MEDIUM,Strong,mid-market
Active,SISTER,Golrang Industrial Group,Cleaning Supplies,Consumer_Products,General_Products,Cleaning_Supplies,MEDIUM,Strong,mid-market
Oila,SISTER,Golrang Industrial Group,Edible Oils,Consumer_Products,General_Products,Edible_Oils,MEDIUM,Strong,mid-market
Familia,SISTER,Golrang Industrial Group,Canned Food,Consumer_Products,General_Products,Canned_Food,MEDIUM,Strong,mid-market
Henkel Pakvash,COMPETITOR,Unknown,Home & Personal Care,Consumer_Products,General_Products,Home_&_Personal_Care,NONE,challenger,premium
Behpak,COMPETITOR,Unknown,Edible Oils,Consumer_Products,General_Products,Edible_Oils,NONE,follower,mid-market
Paxan,COMPETITOR,Unknown,Detergents,Consumer_Products,General_Products,Detergents,NONE,follower,economy
Solico Group (Kalleh),SIMILAR,Unknown,FMCG Conglomerate,Consumer_Products,General_Products,FMCG_Conglomerate,LOW,Unknown,mid-market
Mihan Industrial Group,SIMILAR,Unknown,Food & Beverage,Consumer_Products,General_Products,Food_&_Beverage,LOW,Unknown,mid-market
Digikala,COMPLEMENTARY,Unknown,E-commerce,Consumer_Products,General_Products,E_commerce,HIGH,Unknown,mid-market
Snowa,COMPLEMENTARY,Unknown,Home Appliances,Consumer_Products,General_Products,Home_Appliances,MEDIUM,Unknown,mid-market
Ofogh Koorosh & Okala,COMPLEMENTARY,Unknown,Unknown,Consumer_Products,General_Products,Unknown,HIGH,Unknown,Unknown
Tara (Fintech),COMPLEMENTARY,Unknown,Unknown,Consumer_Products,General_Products,Unknown,HIGH,Unknown,Unknown
