product_name,category,description,target_market
Spot Trading Market,Cryptocurrency Trading & Exchange,A comprehensive trading platform allowing users to buy and sell over 400 different cryptocurrencies instantly with low latency and competitive spreads in the Iranian market.,Individual retail investors and professional crypto traders in Iran.
P2P (Peer-to-Peer) Marketplace,Cryptocurrency Trading & Exchange,"A secure environment for direct trading between users, allowing for customized pricing and various payment methods while Aban Tether acts as the escrow agent.",Users seeking specific payment methods or localized trading terms.
OTC (Over-The-Counter) Desk,Cryptocurrency Trading & Exchange,Specialized trading services for high-net-worth individuals and institutional clients looking to execute large volume trades without causing significant market slippage.,Institutional investors and whale traders.
Aban Multi-Currency Wallet,Wallet & Custody Services,An integrated hot wallet solution providing secure storage for hundreds of different blockchain assets with easy deposit and withdrawal capabilities to Iranian banks.,General crypto holders and long-term investors.
Fiat-to-Crypto Gateway,Wallet & Custody Services,"A seamless bridge between the Iranian Rial (IRT) and the digital economy, enabling users to fund their accounts using local debit cards.",Iranian citizens entering the crypto market for the first time.
Crypto Staking Services,Investment & Passive Income,A service allowing users to lock their Proof-of-Stake (PoS) assets within the Aban Tether ecosystem to earn periodic rewards and interest.,Passive investors looking for long-term yield.
Referral & Affiliate Program,Investment & Passive Income,An incentive-based system where users can earn a percentage of the trading fees generated by users they invite to the platform.,"Content creators, influencers, and active community members."
Aban Tether Public API,Enterprise & Developer Tools,A robust set of programming interfaces that allow developers and businesses to integrate Aban Tether's market data and trading functionality into their own applications.,Fintech developers and algorithmic trading firms.
Corporate Accounts,Enterprise & Developer Tools,Dedicated account types for legal entities and businesses in Iran to manage their digital asset treasury and corporate investments.,"Legal entities, startups, and Iranian corporations."
Aban Academy (Learning Hub),Educational & Analytical Services,"An educational portal providing free resources, articles, and video tutorials about blockchain technology, security best practices, and market analysis.",Beginners and enthusiasts seeking to improve their financial literacy.
Market Analysis Dashboard,Educational & Analytical Services,"A specialized tool within the platform providing technical analysis indicators, sentiment analysis, and trending coin data specifically for the Iranian market.",Active daily traders and technical analysts.
