product_name,category,description,target_market
Cerita Minoxidil 2% Hair Growth Solution,Hair Care & Growth Treatments,"A topical treatment specifically formulated to stimulate hair follicles and treat thinning hair in women, promoting increased blood circulation to the scalp.",Women experiencing early stages of hair thinning or hereditary hair loss
Cerita Minoxidil 5% Hair Growth Solution,Hair Care & Growth Treatments,A high-strength topical solution designed for men to combat androgenetic alopecia by revitalizing shrunken hair follicles and increasing hair density.,Men with male pattern baldness or significant scalp hair thinning
Cerita Anti-Hair Loss Herbal Shampoo,Hair Care & Growth Treatments,A specialized shampoo enriched with botanical extracts and caffeine to strengthen hair roots and reduce daily shedding while cleansing the scalp.,Individuals suffering from daily hair fall and weak hair roots
Cerita Anti-Dandruff Shampoo for Dry Scalp,Hair Care & Growth Treatments,A medicated shampoo designed to eliminate flakes and soothe itching associated with dry dandruff while maintaining the scalp's natural moisture balance.,People with dry scalp conditions and visible white flakes
Cerita Eyelash Enhancing Serum,Eyebrow & Eyelash Care,"A premium growth serum formulated to increase the length, volume, and darkness of eyelashes using a blend of peptides and vitamins.","Individuals with short, thin, or brittle eyelashes"
Cerita Eyebrow Regenerating Cream,Eyebrow & Eyelash Care,"A concentrated herbal-based cream designed to stimulate dormant eyebrow follicles and fill in sparse areas for a fuller, more defined look.",People with over-plucked or naturally thin eyebrows
Cerita Psoriasis Control Cream,Skincare & Specialized Treatments,"A specialized dermatological cream intended to manage symptoms of psoriasis, including scaling, redness, and intense skin dryness.",Patients suffering from psoriasis or extreme localized skin scaling
Cerita Anti-Acne Solution Gel,Skincare & Specialized Treatments,A fast-acting spot treatment that targets acne-causing bacteria and reduces inflammation without over-drying the surrounding skin area.,Teenagers and adults with oily or acne-prone skin
Cerita Sunscreen Cream SPF 50+,Skincare & Specialized Treatments,A high-protection broad-spectrum sunscreen that shields the skin from harmful UVA and UVB rays while providing antioxidant benefits.,General consumers seeking daily sun protection and anti-aging benefits
Cerita Medical Grade Face Masks,Medical Equipment & Hygiene,High-filtration 3-ply surgical masks designed for maximum breathability and protection against airborne particles and pathogens.,Healthcare professionals and general public for daily hygiene
Cerita Antiseptic Hand Sanitizer,Medical Equipment & Hygiene,"An alcohol-based hand rub that effectively kills 99.9% of germs and bacteria, enriched with aloe vera to prevent skin dryness.",General public and clinical environments
Cerita Digital Thermometer,Medical Equipment & Hygiene,"A high-precision digital thermometer for accurate body temperature measurement, featuring a clear LCD display and memory function.",Families and medical clinics for health monitoring
